customer,age,gender,merchant,zipMerchant,category,amount,fraud
2583110837,3,0,1480139044,2,1,44.26,1
21332295774,3,0,1480139044,2,1,324.5,1
21160421902,3,0,1857378720,2,4,176.32,1
2966214713,3,0,1857378720,2,4,337.41,1
21450140987,4,1,11198415165,2,8,220.11,1
260026962,2,1,11198415165,2,8,4.32,1
21685492470,2,1,1980657600,2,7,278.02,1
21275518867,5,1,1980657600,2,7,69.53,1
21734487337,4,1,11741626453,2,7,70.15,1
2204205576,3,1,11741626453,2,7,238.82,1
2583110837,3,0,1480139044,2,1,667.09,1
21079254393,1,1,1480139044,2,1,520.5,1
2330615170,2,1,11535107174,2,8,190.53,1
2330615170,2,1,11535107174,2,8,451.92,1
21275518867,5,1,1980657600,2,7,305.11,1
21685492470,2,1,1980657600,2,7,764,1
21038215695,4,0,12122776122,2,11,328.02,1
21764447156,3,1,12122776122,2,11,707.22,1
2555482626,3,1,1209847108,2,8,198.58,1
2792341594,3,0,1209847108,2,8,304.21,1
22027310658,4,1,11535107174,2,8,154.77,1
2967677653,4,1,11535107174,2,8,122.04,1
2375144053,6,1,1980657600,2,7,881.04,1
2375144053,6,1,1980657600,2,7,83.07,1
21490048317,6,1,1209847108,2,8,432.27,1
21490048317,6,1,1209847108,2,8,87.68,1
21685492470,2,1,1480139044,2,1,289.21,1
21275518867,5,1,1480139044,2,1,560.9,1
21977646698,3,1,11198415165,2,8,135.11,1
21977646698,3,1,11198415165,2,8,256.37,1
21560676680,2,1,11888755466,2,2,66.6,1
21171622243,5,0,11888755466,2,2,189.22,1
2375144053,6,1,1980657600,2,7,364.68,1
2525850964,2,1,1980657600,2,7,398.57,1
2179390259,4,1,1547558035,2,10,119.81,1
2179390259,4,1,1547558035,2,10,506.77,1
21685492470,2,1,1980657600,2,7,383.14,1
2375144053,6,1,1980657600,2,7,321.7,1
21079254393,1,1,1480139044,2,1,908.5,1
21175850429,4,0,1480139044,2,1,142.86,1
21450140987,4,1,1980657600,2,7,255.14,1
21450140987,4,1,1980657600,2,7,21.93,1
21490048317,6,1,11535107174,2,8,212.16,1
21143401925,1,1,11535107174,2,8,329.13,1
2436675602,2,0,1480139044,2,1,933.69,1
2894204131,1,0,1480139044,2,1,132.13,1
2583110837,3,0,13697346,2,14,285.16,1
21079254393,1,1,13697346,2,14,352.7,1
21174735331,3,1,11649169323,2,7,1041.31,1
2957324981,4,0,11649169323,2,7,591.83,1
2375144053,6,1,1923029380,2,11,298.44,1
2375144053,6,1,1923029380,2,11,112.77,1
21079254393,1,1,1480139044,2,1,905.54,1
2375144053,6,1,1480139044,2,1,1126.96,1
21273692645,3,0,1480139044,2,1,222.26,1
21273692645,3,0,1480139044,2,1,399.22,1
21764447156,3,1,1495352832,2,13,3387.85,1
21354768768,1,1,1495352832,2,13,6888.3,1
21464489812,4,0,1980657600,2,7,397.63,1
2309177915,3,0,1980657600,2,7,92.01,1
21464489812,4,0,1480139044,2,1,809.46,1
21338125837,3,1,1480139044,2,1,896.93,1
21434797923,3,0,1857378720,2,4,396.36,1
21275518867,5,1,1857378720,2,4,661.53,1
21338125837,3,1,1480139044,2,1,801.49,1
2583110837,3,0,1480139044,2,1,149.11,1
21275518867,5,1,1480139044,2,1,265.33,1
21338125837,3,1,1480139044,2,1,167.27,1
21181615831,3,0,117379832,2,7,836.04,1
21556534733,3,1,117379832,2,7,195.37,1
22018553540,4,1,13697346,2,14,326.34,1
22018553540,4,1,13697346,2,14,307.06,1
22005070127,2,1,12122776122,2,11,646.92,1
21275518867,5,1,12122776122,2,11,526.09,1
22079384186,2,1,11294758098,2,14,349.85,1
21237476993,1,0,11294758098,2,14,153.08,1
21685492470,2,1,1547558035,2,10,141.83,1
